ObjCoeff,yLP,Dual,RC,yInt,,,,
0.344467,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_1.000000_0.000000_1.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-11707.000000_-15939.000000_-621.000000_0.000000_0.000000_0.000000_-46.00,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_25.500000_-13.312500_67.702156_-79.345108_1191.741699_847.077087_900.289917_384.055511_1067.061279_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_1190.137573_,0,,,,
0.411113,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_-2369.000000_0.000000_-1909.000000_-2369.000000_0.000000_0.000000_-782.00,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_5176.458984_5137.172852_4892.880859_4787.539062_4773.517578_4891.354492_4982.479004_4962.250000_4913.375000_4935.491211_4548.659668_4730.387207_4218.912109_4232.756836_4188.496582_4183.196289_4255.655273_4066.548584_4226.740723_4344.888184_4350.824219_4366.193359_4401.926758_4418.377441_4438.318359_4513.111328_4500.633301_4444.036621_4446.882812_4452.336914_,0,,,,
0.888949,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.924945_0.595823_0.000000_0.398968_0.000000_0.000000_0.000000_0.234128_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.436710_0.000000_0.000000_0.000000_0.000000_0.000000_0.045331_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-19747.000000_-19747.000000_-20956.685547_-19747.000000_-19747.000000_-19747.000000_-19747.000000_-38225.652344_-19747.000000_-19747.000000_-19747.000000_-19747.000000_-19747.000000_-19747.000000_-28763.000000_0.000000_0.000000_-931.000000_0.000000_-6223.,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_2114.896484_2611.222656_,0,,,,
0.988918,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_0.747239_1.000000_0.000000_0.000000_0.351192_0.427268_0.000000_0.596172_0.000000_0.205250_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.159947_0.026219_0.000000_0.000000_0.000000_0.031522_0.000000_0.000951_0.000000_0.000000_0.000000_0.000000_,-23662.041016_-20347.775391_-21564.269531_-29376.000000_-29376.000000_-29241.531250_-15412.037109_-29376.000000_-29376.000000_-29376.000000_-11373.652344_-28627.890625_-29376.000000_-29376.000000_-23769.998047_-2088.000000_0.000000_0.000000_-2088.000000_-,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-1174.469238_-1077.656982_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.700015,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_-8216.000000_0.000000_-4888.000000_-8216.000000_0.000000_-1040.000000_-27,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_4491.210449_3700.188232_4152.991211_2843.041992_1651.805664_3287.185303_3585.062012_3870.115234_3187.789551_3595.150879_3691.010010_3137.987549_3922.190674_3551.043213_4138.038086_3057.945557_3663.880371_4225.169922_3722.641846_3668.455811_3781.691895_3625.778564_3708.489990_3749.722168_3993.978027_4098.781250_4001.125244_4035.641357_4130.769043_4106.974609_4101.950195_,0,,,,
1,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_0.475790_0.473053_0.682233_0.502320_0.717970_0.502320_0.728538_0.502320_0.728538_0.741032_0.869261_0.722834_0.794890_0.983109_0.752149_0.777041_0.777041_0.777041_0.777041_0.779713_0.777041_0.777041_0.777041_0.777041_0.777041_0.761279_0.770419_0.766495_0.769845_0.775117_0.777041_0.777041_,-2827.545654_-18828.384766_0.000000_-8339.887695_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-12246.400391_0.000000_0.000000_-15221.599609_0.000000_0.000000_0.000000_-6201.954590_-9506.663086_0.000000_0.000000_-8907.800781_0.000000_0.000000_0.00,0.000000_0.000000_0.000000_-4062.671875_-4656.420898_-4840.120117_-5243.640137_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.888949,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.972381_0.901282_0.067144_1.000000_0.046719_1.000000_0.000000_1.000000_0.000000_0.000000_0.135039_0.194486_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.084833_0.035638_0.056759_0.038731_0.010358_0.000000_0.000000_,-16740.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-24000.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-16740.000000_-8460.000000_-9480.000000_-1110.000000_-6240.,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_6924.810547_5680.560547_0.000000_0.000000_0.000000_0.000000_0.000000_-339.831848_0.000000_-286.684113_0.000000_-14.724460_168.304642_416.598541_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.466677,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-21050.000000_-31587.662109_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-21050.000000_-14150.000000_-15000.000000_-7725.000000_-123,0.000000_0.000000_0.000000_1410.061646_1381.554565_1359.329468_1181.870850_0.000000_0.000000_0.000000_0.000000_-8250.173828_-8432.761719_-9155.010742_-9006.049805_-9330.396484_-9338.974609_-8671.004883_-9554.760742_-8688.603516_-7410.259277_-7645.960449_-7504.793945_-5988.702148_-5149.002930_-5691.238770_-5878.101562_-5779.410645_-5402.680664_-5183.697754_-5467.479492_-5225.866211_-5276.806152_-5461.048340_-5397.944824_-5389.313965_-5615.917969_-5603.719238_-5635.553711_-5613.872070_-5581.025391_-5572.679688_-5575.838379_,1,,,,
0.177774,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_0.960784_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-4114.000000_-4114.000000_-4114.000000_-9614.000000_-4114.000000_-10758.000000_-4114.000000_-4114.000000_-4114.000000_-4114.000000_-4114.000000_-4114.000000_-4114.000000_-4114.000000_-6138.000000_-5335.000000_-7436.000000_-3476.000000_-4411.000000_-1254.0,0.000000_0.000000_0.000000_1715.660034_1715.660034_1715.660034_1489.532593_1071.037964_528.192932_1218.477539_1237.286987_-296.846649_-971.639038_-1055.250244_-629.416870_-654.937805_-842.584534_-930.045227_-1307.685181_-1112.511719_-572.611145_-714.535828_-869.282715_-644.994019_-299.855988_-378.375824_-855.205505_-558.469604_-189.563812_-196.708664_0.000000_-67.532692_-0.738701_-11.167407_-130.814301_-78.395447_-43.618717_-107.253471_-59.250023_-75.375008_-70.295242_-68.575363_-73.551071_,0,,,,
0.611128,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-9981.000000_-8325.000000_-9981.000000_-3672.000000_-981.000000_-981.000000_-2772.000000_-9981.000000_-981.000000_-981.000000_-9981.000000_-2772.000000_-9981.000000_-9981.000000_-981.000000_-4671.000000_-6354.000000_-3915.000000_-3915.000000_-3375.000000_,0.000000_0.000000_0.000000_6357.526367_6247.591797_6223.497070_5629.180176_7399.563477_6470.704590_7300.583984_7394.663574_4425.824219_4075.024902_3953.030762_3777.077637_3258.593994_2940.634033_3729.142090_3542.978516_3402.340576_3136.661865_3508.474609_3403.531250_3447.695801_3683.691895_2413.872314_2597.578369_2858.541016_1809.745483_2019.715942_2397.722412_2683.595459_2636.824463_2529.743652_2583.216064_2526.044922_2218.593994_2365.582031_2538.375732_2531.570801_2539.406006_2572.861816_2580.463623_,0,,,,
1,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_0.475790_0.473053_0.564756_0.358279_0.851439_0.502320_0.465314_0.381850_0.539877_0.781046_0.641124_0.722834_0.554962_0.858550_0.659994_0.640644_0.598646_0.779626_0.728645_0.803321_0.742527_0.725433_0.744651_0.747096_0.726754_0.740415_0.759319_0.743014_0.746707_0.745569_0.744873_0.744833_,-11899.254883_0.000000_-19285.699219_0.000000_0.000000_0.000000_-19899.117188_-19991.599609_0.000000_-89127.500000_0.000000_-21433.214844_-13882.400391_0.000000_0.000000_-8196.555664_-49426.085938_-29510.542969_-15170.488281_-5984.903320_-4286.369141_-626,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.622288,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.431709_0.459094_0.000000_0.339351_1.000000_1.000000_0.143173_0.000000_0.244923_0.438421_0.251514_0.427946_0.453957_0.167405_0.601703_0.588025_0.302238_0.465793_0.232315_0.486373_0.527463_0.609647_0.337768_0.492054_0.361854_0.487074_0.389408_0.434524_0.428222_0.412177_0.413001_0.413376_,-48222.000000_0.000000_0.000000_-19722.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-48222.000000_-48222.000000_-32547.000000_0.000000_0.000000_-48222.000000_-3192.000000_-1362.623047_-13794.000000_-3192.000000_-20577.000000_-18012.000000_-3192.000,0.000000_0.000000_0.000000_0.000000_5698.546875_5698.546875_5014.546875_5149.921875_5149.921875_5149.921875_0.000000_0.000000_0.000000_0.000000_0.000000_-4002.270996_-1161.067627_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.355549,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-18700.000000_-18700.000000_-18700.000000_-68700.000000_-18700.000000_-18700.000000_-18700.000000_-26400.000000_-18700.000000_-18700.000000_-18700.000000_-18700.000000_-18700.000000_-18700.000000_-27900.000000_-18700.000000_-18700.000000_-17200.000000_-17,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-6598.052734_-6459.233398_-7612.545898_-7011.045410_-6541.958496_-7193.205078_-6516.503418_-6816.718750_-5937.375977_-5648.562988_-6105.184082_-6190.615723_-6390.649414_-6203.689941_-6425.652832_-6467.305664_-6354.458496_-6548.146973_-6305.719238_-5794.912109_-5794.017578_-5958.259766_-6114.145020_-5953.558594_-5708.196289_-5713.659668_-5758.031738_-5750.816406_-5768.969238_-5738.166016_-5874.909180_-5870.438477_,1,,,,
0.266662,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_0.905256_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-22313.000000_-66106.437500_-22313.000000_-22313.000000_-22313.000000_-22313.000000_-34011.031250_-22313.000000_-35139.000000_-22313.000000_-22313.000000_-22313.000000_-22313.000000_-22313.000000_-22313.000000_-7685.000000_-14840.000000_-7579.000000_-6307,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-12125.407227_-10985.954102_-11410.823242_-10905.448242_-9294.029297_-9453.012695_-9297.829102_-9166.124023_-7729.251953_-6277.610840_-6468.965332_-5933.865723_-1897.131104_-618.062988_-338.421722_-1174.274170_-998.811646_-416.973358_0.000000_-164.053085_-594.405762_-645.059692_-1080.757812_-826.236450_-437.551025_-434.977814_-447.831482_-499.171967_-531.007812_-484.341187_-480.810272_-501.484314_,1,,,,
0.311144,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_1.000000_1.000000_0.223811_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-2622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-21622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-2622.000000_-8721.000000_-11286.000000_-9044.000000_-7125.000000_-6764.,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_387.960327_311.768188_-641.290649_-22.482687_0.000000_-173.407990_-384.176270_-33.473671_-384.620422_-481.035217_-847.931396_-822.580200_-1305.267944_-836.051147_-546.060974_-541.799805_-629.941711_-615.170654_-756.198242_-452.658966_-713.809937_-543.008057_-543.117859_-409.686066_-299.120819_-52.056606_-30.804749_-20.753851_-20.048069_-27.390057_-36.860821_-42.487885_,0,,,,
0.722257,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-14496.000000_-2496.000000_-2496.000000_-14496.000000_-2496.000000_-11592.000000_-2496.000000_-4344.000000_-2496.000000_-14496.000000_-14496.000000_-2496.000000_-2496.000000_-2496.000000_-14496.000000_-6348.000000_-7968.000000_-6552.000000_-5340.000000_-5,0.000000_0.000000_0.000000_0.000000_8683.219727_8683.219727_8634.496094_8634.496094_8634.496094_8677.525391_8683.219727_5766.553711_5655.175293_5161.688965_4450.969238_5296.358398_4813.993652_5327.396973_4662.125488_4454.352051_1078.216431_3806.823730_5275.152344_4594.141113_4885.273438_5113.958008_2565.905273_3185.771484_3288.353271_3958.718506_5411.583008_4980.508789_3870.490723_3402.620361_2765.108154_2375.944580_1273.733032_966.358948_724.654236_795.819275_792.724609_779.312561_756.380737_,0,,,,
1,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_0.245432_0.473053_0.420324_0.304790_1.000000_0.338619_0.504386_0.400614_0.539877_0.688775_0.578961_0.679708_0.764780_0.852336_0.649504_0.695525_0.598646_0.728133_0.728645_0.771089_0.690123_0.728077_0.744651_0.730486_0.707839_0.736000_0.748520_0.743366_0.742509_0.745569_0.744790_0.744833_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-3333.620605_-31065.349609_-1465.566284_0.000000_0.000000_-18124.847656_-6460.888184_-928.152222_-5717.197266_-21949.355469_-10389.806641_-3072.503906_-60886.242188_-6238.065430_-111234.859375_-15562.780273_0.000000_0.000000_0.000000_0.000000_-19295.355469_-736.120728_-49911.398438_-110949.757812_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-610.325012_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.244498,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.420939_0.000000_1.000000_0.000000_0.554275_1.000000_0.000000_0.000000_0.000000_1.000000_1.000000_0.716747_0.000000_0.889872_0.616920_0.151240_0.772712_1.000000_1.000000_0.723523_0.597493_0.018691_0.469046_0.287980_0.315035_0.456650_0.483383_0.348926_0.424008_0.443185_0.433412_0.441389_,-6930.000000_-6930.000000_-6930.000000_-36930.000000_-6930.000000_-6930.000000_-6930.000000_-11550.000000_-6930.000000_-6930.000000_-6930.000000_-6930.000000_-6930.000000_-6930.000000_-12450.000000_-6930.000000_-6930.000000_-6030.000000_-6120.000000_0.000,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_697.029602_0.000000_0.000000_0.000000_983.482117_0.000000_55.051003_-407.230072_0.000000_0.000000_-314.582184_0.000000_0.000000_0.000000_-112.712814_-23.049068_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-51.298473_-56.045143_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.322226,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-10080.000000_-10080.000000_-10080.000000_-10080.000000_-10080.000000_-10080.000000_-10080.000000_-10080.000000_-15162.000000_-10080.000000_-10080.000000_-10080.000000_-10080.000000_-10080.000000_-13041.000000_-9366.000000_-10080.000000_-7203.000000_-6699,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_191.574005_1946.342041_0.000000_0.000000_2741.324951_-1136.220337_-1216.216309_-1990.775513_-1585.468140_-1494.969849_-1697.476685_-1249.487915_-1395.021118_-1733.264038_-1319.023682_-1873.033081_-1802.634888_-1866.158569_-1247.800903_-1679.786011_-1634.280884_-2063.373047_-2248.865234_-2329.469482_-2286.194336_-2031.890503_-2060.546875_-2119.207520_-2155.105713_-2136.950439_-2047.372559_-2064.283936_-2129.250000_-2110.969971_-2042.094849_-2027.447144_-2039.394531_,1,,,,
0.688934,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_0.799520_1.000000_0.880541_0.000000_1.000000_0.295841_0.955676_0.225129_0.000000_0.316683_0.498044_0.515721_0.710832_0.556939_0.608160_0.631485_0.543456_0.538303_0.628395_0.576155_0.564382_0.570589_0.565528_,-17300.689453_-25277.046875_-16866.636719_-27120.759766_-17372.759766_-40373.000000_-35303.546875_-21262.054688_-31784.974609_-18734.361328_-15438.120117_-4135.675781_-22823.630859_-40373.000000_-8045.368164_0.000000_0.000000_0.000000_0.000000_-2303.00000,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-3676.103760_-3427.611816_-2810.254883_-3156.868896_-846.071045_-890.353943_-1088.266113_-958.644043_-579.879089_0.000000_-161.815918_0.000000_0.000000_-1010.196045_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.155611,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-10941.000000_-10941.000000_-10941.000000_-10941.000000_-10941.000000_-10941.000000_-14805.000000_-10941.000000_-16023.000000_-10941.000000_-10941.000000_-10941.000000_-10941.000000_-10941.000000_-13902.000000_-5145.000000_-5859.000000_0.000000_-3591.0000,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-4097.972656_-4036.303467_-3661.437500_-3313.743896_-2476.085449_-2866.570068_-2409.474121_-2726.228516_-2203.176025_-2140.512451_-2092.032471_-2128.380371_-711.595947_-955.346619_-983.422852_-978.881042_-1237.248779_-993.139648_-829.924988_-960.772827_-841.433411_-695.140137_-817.939148_-856.320923_-873.221619_-819.452087_-823.525024_-895.815002_-873.898132_-800.483032_-804.634888_-815.049988_,1,,,,
0.811144,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_0.990181_0.902609_1.000000_1.000000_0.611512_0.996950_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-29422.000000_-45162.148438_-29422.000000_-29422.000000_-29422.000000_-42213.296875_-29422.000000_-29422.000000_-29422.000000_-29422.000000_-29422.000000_-29422.000000_-29422.000000_-29422.000000_-36049.000000_-16450.000000_-18048.000000_-4935.000000_-104,0.000000_0.000000_0.000000_0.000000_0.000000_3889.038574_3972.026611_4023.670410_5456.712402_4741.269043_5092.042969_-7378.738281_-7275.776855_-7919.867676_-7487.526367_-5157.497559_-5791.092285_-4608.085938_-5129.317871_-4368.947754_-2260.889160_-2966.174561_-2718.332520_-578.672607_0.000000_0.000000_-127.071259_-442.316376_0.000000_0.000000_-11.867149_-90.881531_-261.019196_-749.107788_-465.417877_-295.031586_-183.843307_-270.556580_-218.081863_-207.423203_-120.952652_-107.769119_-111.774208_,1,,,,
