ObjCoeff,yLP,Dual,RC,yInt,,,,
0,0.500000_0.326036_0.378935_0.189467_0.094734_0.047367_0.023683_0.011842_0.005921_0.002960_0.000000_0.000000_0.000000_0.000000_0.044389_0.000000_0.003939_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-178.582794_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.0681302,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.47729,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_1061.581055_1076.474609_1192.292603_1269.920898_1257.951538_1242.649780_1251.691162_1216.314819_1330.693481_1329.502563_1316.598267_1461.458374_1507.097656_1571.462769_1588.623169_1597.897827_,0,,,,
0.420515,0.500000_0.250000_0.625000_0.812500_0.895697_0.836285_0.828258_0.824245_0.822238_0.821235_0.820232_0.820232_0.820232_0.800204_0.819755_0.818542_0.820232_0.820232_0.820232_0.820232_,-371.060791_-208.658707_-102.987900_-154.691406_0.000000_-202.215607_-186.636002_0.000000_-29.113001_0.000000_-151.091095_-407.388000_-102.713600_0.000000_-76.536003_-870.073608_-1576.532349_-778.130798_-1753.169189_-849.782410_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.88645,0.500000_0.250000_0.125000_0.062500_0.031250_0.073571_0.043097_0.046604_0.023302_0.011651_0.000000_0.000000_0.025490_0.008257_0.003784_0.010725_0.000915_-0.000000_0.007571_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-973.364319_-761.223572_-553.756897_-1188.771118_-524.415222_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.681681,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_2039.625000_,0,,,,
0.772521,0.500000_0.250000_0.125000_0.062500_0.050576_0.025288_0.012644_0.006322_0.003161_0.001580_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-1604.243774_-427.000000_-888.642517_0.000000_-1769.000000_0.000000_0.000000_-38.161598_-1891.000000_-57.190899_-1891.000000_-1470.330444_-366.000000_0.000000_0.000000_-1647.000000_-1647.000000_-832.736694_-1891.000000_-1891.000000_,0.000000_0.000000_394.347229_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_375.251831_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-118.594200_0.000000_-133.675354_-427.288391_-431.789398_-278.948608_-442.194214_,0.000000_0.000000_1833.509033_1854.626465_1650.226318_1383.875732_1178.288208_979.412170_984.167664_1010.101440_1042.425171_824.335999_841.062378_740.432007_655.172852_792.579285_904.616760_873.773376_858.112915_839.679993_,0,,,,
0.102195,0.500000_0.299122_0.649561_0.824781_0.912390_0.956195_0.978098_0.989049_0.994524_0.997262_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-115.548241_-622.685974_-584.579590_-515.638000_-94.755898_-516.773193_-756.235229_-159.000000_0.000000_-318.236389_0.000000_-159.000000_-728.854370_-609.572388_-318.000000_-162.320084_-901.000000_-615.860474_-1009.052673_-536.950073_,0.000000_0.000000_-311.893677_-511.166901_-257.931152_-476.295380_-567.603271_-784.368530_-799.119385_-764.061768_-865.773132_-1085.489990_-1102.872803_-1148.596558_-1138.976807_-1004.143616_-941.217468_-976.148376_-962.601074_-957.789124_,1,,,,
