LB,UB,ObjCoeff,yLP,Dual,RC,yInt
53399.3,53399.3,0.443225,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.61374,0.500000_0.259530_0.129765_0.064882_0.032441_0.016221_0.008110_0.004055_0.002028_0.001014_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.0340651,0.500000_0.740470_0.662546_0.331273_0.165636_0.082818_0.041409_0.020705_0.010352_0.005176_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.193225,0.500000_0.250000_0.332689_0.235088_0.117544_0.058772_0.029386_0.014693_0.007347_0.003673_0.000000_,0.000000_0.000000_0.000000_0.000000_-194.567200_0.000000_0.000000_-195.964005_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.40916,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_432.343414_248.776703_0.000000_0.000000_268.996002_0.000000_,0
53399.3,53399.3,0.95458,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-2001.555054_-3292.100098_-3045.402588_-3542.573242_-3169.548340_-715.180176_-2426.215088_-1495.521240_-3930.149414_-2701.649414_-1425.058838_,0.000000_0.000000_0.000000_0.000000_0.000000_364.972839_364.972839_84.948830_123.835220_395.942230_189.655258_,0
53399.3,53399.3,0.0340651,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.54542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-120.093300_-197.526001_0.000000_0.000000_0.000000_0.000000_-145.572906_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_1287.013672_1384.146729_1449.948853_1217.664795_1123.086548_926.513550_846.344116_1101.871338_897.553101_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-1053.023438_-789.887390_-644.610229_-1056.912964_-1190.154663_-445.569794_-863.354980_-672.115479_-1244.723999_-1426.177856_-1668.871948_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.54542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_1732.819458_2086.194580_2157.223389_1815.389648_1696.946899_1982.598145_,0
53399.3,53399.3,0.352195,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,-2653.787598_-1789.990234_-1969.626953_-3066.289062_-1327.406250_-2332.958008_-762.891785_-2428.100098_-4343.454102_-4139.771484_-1485.665405_,0.000000_0.000000_-170.884384_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_539.556641_151.844513_152.628036_457.614380_645.608582_255.740662_,0
53399.3,53399.3,0.29542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.40916,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.329485,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.43187,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,-3664.808105_-171.246399_-2147.117676_-3914.637939_-2303.780518_-2958.479980_-5166.826172_-5493.705078_-2294.294434_-2209.413330_-5832.393066_,0.000000_0.000000_-650.781311_-614.260498_-614.260498_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.79542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_-1923.011963_-2435.789307_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_4451.614746_4442.247070_4536.435059_4048.030029_3849.458252_4276.107910_4451.614746_4078.286621_,0
53399.3,53399.3,0.27271,0.500000_0.500000_0.676816_0.791160_0.895580_0.947790_0.973895_0.986948_0.993474_0.996737_1.000000_,0.000000_-257.041595_0.000000_0.000000_0.000000_0.000000_-278.655212_0.000000_-33.417400_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.63645,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.579485,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,-3512.107910_-6138.100586_-5209.375488_-2497.829346_-4629.686523_-1029.872070_-3496.775391_-4740.802246_-4435.102539_-4781.305664_-5677.568359_,0.000000_0.000000_-65.486038_-65.486038_-65.486038_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.88645,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.238645,0.500000_0.250000_0.125000_0.562500_0.781250_0.890625_0.945312_0.972656_0.986328_0.993164_1.000000_,0.000000_0.000000_-326.440796_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-383.951996_,0.000000_0.000000_569.640991_-143.346420_-241.895813_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
