LB,ObjCoeff,Dual,RC,y_lp_sum,ylp,yint
55470.2,0.70458,-0.643783,-0.523544,0.00557148,0,0
55470.2,0.511355,1,-0.523544,0.00244141,0,0
55470.2,0.20458,1,-0.523544,0.994877,1,1
55470.2,0.556775,0.744563,-0.523544,0.971191,1,1
55470.2,0.84084,1,-0.523544,0.00244141,0,0
55470.2,1,0.584865,1,0.00244141,0,0
55470.2,0.920515,-0.0858885,0.472123,0.00244141,0,0
55470.2,0.13645,0.356541,-0.523544,0.988973,1,1
55470.2,0.31813,-0.103804,-0.523544,0.00590474,0,0
55470.2,0.852385,0.978678,0.737492,0.00244141,0,0
55470.2,0,1,-0.523544,0.00816487,0,0
55470.2,1,1,-0.523544,0.00244141,0,0
55470.2,0.0681302,1,-0.523544,0.00463491,0,0
55470.2,0.47729,1,-0.523544,0.00244141,0,0
55470.2,0.420515,1,-0.523544,0.0105385,0,0
55470.2,0.88645,-0.0610884,-0.268687,0.00244141,0,0
55470.2,0.68187,1,0.645888,0.00244141,0,0
55470.2,0.77271,0.409053,0.346589,0.00244141,0,0
55470.2,1,0.205253,0.925626,0.00244141,0,0
55470.2,0.102195,0.168572,-0.523544,0.979696,1,1
55470.2,0.88645,0.242813,-0.523544,0.0198158,0,0
55470.2,0.86374,0.597079,0.719788,0.00244141,0,0
55470.2,0.965935,-0.194371,0.367851,0.00244141,0,0
55470.2,1,0.979559,0.572633,0.00244141,0,0
55470.2,0.443225,1,-0.523544,0.00244141,0,0
55470.2,0.61374,1,-0.523544,0.00284877,0,0
55470.2,0.0340651,1,-0.523544,0.0103771,0,0
55470.2,0.193225,1,-0.523544,0.00841369,0,0
55470.2,1,1,-0.523544,0.00244141,0,0
55470.2,0.40916,1,-0.523544,0.00244141,0,0
55470.2,0.95458,-0.270703,-0.422871,0.00244141,0,0
55470.2,0.0340651,1,-0.523544,0.99707,1,1
55470.2,0.54542,0.923758,-0.222336,0.00244141,0,0
55470.2,1,1,-0.523544,0.00244141,0,0
55470.2,0.511355,0.643421,-0.523544,0.00244141,0,0
55470.2,0.54542,1,-0.523544,0.00244141,0,0
55470.2,0.352195,0.121369,-0.523544,0.99707,1,1
55470.2,0.511355,0.376429,0.0920773,0.00244141,0,0
55470.2,0.29542,1,-0.523544,0.00244141,0,0
55470.2,0.40916,1,-0.523544,0.00244141,0,0
55470.2,0.329485,1,-0.523544,0.00244141,0,0
55470.2,1,1,-0.523544,0.00244141,0,0
55470.2,0.43187,0.328148,-0.523544,0.99707,1,1
55470.2,0.79542,0.909077,0.662978,0.00244141,0,0
55470.2,0.27271,0.987827,-0.523544,0.993607,1,1
55470.2,0.63645,1,-0.523544,0.00244141,0,0
55470.2,1,1,-0.523544,0.00244141,0,0
55470.2,0.579485,-1.00E+00,-0.575759,0.99707,1,1
55470.2,0.88645,1,-0.523544,0.00244141,0,0
55470.2,0.238645,0.0801631,-0.523544,0.984863,1,1
44069.3,1,0.776731,0.776993,9.54E-06,0,0
44069.3,0.329296,0.89609,0.166992,9.67E-05,0,0
44069.3,0.579485,0.946285,-0.0347136,0.00024465,0,0
44069.3,0.56813,0.950344,-0.0347136,0.130026,0.129472,0
44069.3,0.329296,-1.00E+00,-1.00E+00,0.999989,1,1
44069.3,0.647615,0.874741,0.405026,9.54E-06,0,0
44069.3,0.65897,0.774161,-0.0347136,0.000417255,0.00010036,0
44069.3,0.840651,0.932681,0.50365,9.54E-06,0,0
44069.3,0.011355,0.999987,-0.0347136,0.869617,0.870427,1
44069.3,1,0.683545,1,9.54E-06,0,0
44069.3,0.704391,0.960429,-0.0347136,0.998143,0.998806,1
44069.3,0.511355,0.534224,0.166201,9.54E-06,0,0
44069.3,0.204391,0.438956,-0.0347136,0.974121,0.975944,1
44069.3,0.556775,0.615417,0.372088,9.54E-06,0,0
44069.3,0.840651,0.678667,-0.0347136,9.54E-06,0,0
44069.3,1,0.396779,-0.0347136,0.00113628,0.00109412,0
44069.3,0.920515,-0.735847,-0.0347136,0.128186,0.12781,0
44069.3,0.13626,0.858305,-0.0347136,0.00259894,0.000922797,0
44069.3,0.317941,0.296072,-0.0347136,0.869032,0.870528,1
44069.3,0.852385,0.293309,0.367612,9.54E-06,0,0
44069.3,0,0.974126,-0.0347136,0.000802048,0.000590807,0
44069.3,1,0.791669,0.78314,9.54E-06,0,0
44069.3,0.0681302,0.878427,-0.0347136,2.56E-05,0,1
44069.3,0.47729,0.818328,0.425792,9.54E-06,0,0
44069.3,0.420515,0.308369,-0.0347136,0.0258209,0.0240156,0
44069.3,0.88645,0.00635246,-0.0347136,0.000945752,0,0
44069.3,0.681681,0.889687,0.78157,9.54E-06,0,0
44069.3,0.772521,0.165946,0.188523,4.79E-05,0,0
44069.3,1,0.367538,0.163276,9.54E-06,0,0
44069.3,0.102195,0.815576,-0.0347136,0.974364,0.976064,1
44069.3,0.88645,0.282086,-0.0347136,0.973942,0.975984,1
44069.3,0.86374,0.502676,-0.0347136,9.54E-06,0,0
44069.3,0.965935,0.308739,-0.0347136,0.026056,0.0240156,0
44069.3,1,0.874536,0.619899,9.54E-06,0,0
44069.3,0.443225,0.993534,0.476849,9.54E-06,0,0
44069.3,0.61355,0.928913,0.235869,9.54E-06,0,0
44069.3,0.0340651,0.656305,-0.0347136,0.130901,0.129456,0
44069.3,0.193036,0.729062,-0.0347136,0.868675,0.870427,1
44069.3,1,0.956064,0.910009,9.54E-06,0,0
44069.3,0.40916,0.982903,0.285991,9.54E-06,0,0
44069.3,0.95458,-0.291644,-0.0347136,0.164117,0.164734,0
44069.3,0.0340651,0.806798,-0.0347136,0.869618,0.870995,1
44069.3,0.54542,0.740883,0.446163,9.54E-06,0,0
44069.3,1,0.965172,-0.0347136,9.54E-06,0,0
44069.3,0.511355,0.333947,-0.0347136,0.132595,0.129456,0
44069.3,0.54542,0.662331,0.174118,1.36E-05,0,0
44069.3,0.352006,0.776399,-0.0347136,0.999989,1,1
44069.3,0.511355,0.364686,-0.0347136,0.000336234,9.29E-05,0
44069.3,0.295231,0.999841,-0.0347136,0.000706854,0.00010036,0
44069.3,0.40916,0.698432,-0.0347136,9.54E-06,0,0
44069.3,0.329296,0.775408,0.097741,9.54E-06,0,0
44069.3,1,0.981281,-0.0347136,9.54E-06,0,0
44069.3,0.43187,0.408852,-0.0347136,0.999989,1,1
44069.3,0.795231,-0.287897,-0.0347136,9.54E-06,0,0
44069.3,0.272521,0.742195,-0.0347136,0.869075,0.870544,1
44069.3,0.63626,0.815926,0.46468,9.54E-06,0,0
44069.3,1,0.80384,0.566284,9.54E-06,0,0
44069.3,0.579485,0.827946,-0.0347136,0.999989,1,1
44069.3,0.88645,0.72067,0.122249,3.11E-05,0,0
44069.3,0.238456,1,-0.0347136,0.999967,1,1
44781.9,1,0.955519,0.550625,1.91E-05,0,0
44781.9,0.329296,0.981044,-0.0486586,0.188428,0.196635,0
44781.9,0.579485,0.963145,-0.0218731,0.0020708,0,0
44781.9,0.56813,0.981011,-0.0486586,0.297222,0.297479,0
44781.9,0.329296,0.354691,-1.00E+00,0.999977,1,1
44781.9,0.647615,0.958011,0.308911,1.91E-05,0,0
44781.9,0.65897,0.9338,0.0865003,1.91E-05,0,0
44781.9,0.840651,0.630977,0.459385,1.91E-05,0,0
44781.9,0.011355,1,-0.0486586,0.51223,0.505886,1
44781.9,1,0.649264,-0.0486586,1.91E-05,0,0
44781.9,0.704391,0.537601,-0.0486586,0.786612,0.791592,1
44781.9,0.511355,0.922671,0.357746,1.91E-05,0,0
44781.9,0.204391,0.924699,-0.0486586,0.434825,0.433412,1
44781.9,0.556775,0.659676,0.482708,1.91E-05,0,0
44781.9,0.840651,0.97311,0.867872,1.91E-05,0,0
44781.9,1,0.512047,-0.0486586,0.0211008,0.0117724,0
44781.9,0.920515,-0.539401,-0.0486586,0.0891061,0.0890712,0
44781.9,0.13626,0.675032,-0.0486586,0.192934,0.196635,0
44781.9,0.317941,0.458198,-0.0486586,0.702605,0.702521,1
44781.9,0.852385,0.78023,0.462817,6.64E-05,0,0
44781.9,0,0.549876,-0.0486586,0.000421481,0,0
44781.9,1,0.898466,0.86238,1.91E-05,0,0
44781.9,0.0681302,0.656564,-0.0486586,6.42E-05,0,0
44781.9,0.47729,0.973169,0.501603,1.91E-05,0,0
44781.9,0.420515,-0.250059,-0.0486586,0.329926,0.329811,0
44781.9,0.88645,0.141279,-0.0486586,0.000157707,0,0
44781.9,0.681681,0.870171,0.774592,1.91E-05,0,0
44781.9,0.772521,-0.570438,0.04925,0.000593307,0,0
44781.9,1,0.72738,0.106117,1.91E-05,0,0
44781.9,0.102195,0.752412,-0.0486586,0.516719,0.51354,1
44781.9,0.88645,-0.165906,-0.0486586,0.668019,0.670189,1
44781.9,0.86374,-0.14069,-0.0486586,1.91E-05,0,0
44781.9,0.965935,0.456845,-0.0486586,0.331977,0.329811,0
44781.9,1,0.925172,-0.0486586,1.91E-05,0,0
44781.9,0.443225,1,-0.0486586,1.91E-05,0,0
44781.9,0.61355,0.916369,0.252237,1.91E-05,0,0
44781.9,0.0340651,0.74249,-0.0486586,0.296927,0.297479,0
44781.9,0.193036,0.840738,-0.0486586,0.298417,0.297479,1
44781.9,1,0.926563,1,1.91E-05,0,0
44781.9,0.40916,0.901865,0.490642,1.91E-05,0,0
44781.9,0.95458,-0.833317,-0.0486586,0.671341,0.662516,0
44781.9,0.0340651,0.985594,-0.0486586,0.698779,0.702521,1
44781.9,0.54542,0.108062,0.283325,1.91E-05,0,0
44781.9,1,0.999991,-0.0486586,1.91E-05,0,0
44781.9,0.511355,0.228568,-0.0486586,0.574304,0.566588,1
44781.9,0.54542,0.906524,0.0582121,5.06E-05,0,0
44781.9,0.352006,-0.0663927,-0.166599,0.999977,1,1
44781.9,0.511355,0.951328,-0.0486586,0.233213,0.236777,0
44781.9,0.295231,1,-0.0486586,0.192306,0.196635,0
44781.9,0.40916,0.904057,0.111359,1.91E-05,0,0
44781.9,0.329296,0.983606,0.149101,1.91E-05,0,0
44781.9,1,0.980274,0.943808,1.91E-05,0,0
44781.9,0.43187,-0.588505,-0.299394,0.999942,1,1
44781.9,0.795231,0.918483,0.0148991,0.00033869,0,0
44781.9,0.272521,0.863457,-0.0486586,0.702581,0.702521,1
44781.9,0.63626,0.183935,0.054382,1.91E-05,0,0
44781.9,1,0.976531,0.623342,1.91E-05,0,0
44781.9,0.579485,-1.00E+00,-0.519074,0.999977,1,1
44781.9,0.88645,0.763425,-0.0486586,0.000211442,0,0
44781.9,0.238456,1,-0.0486586,0.999785,1,1
46830.9,1,0.681229,0.174971,1.91E-05,0,0
46830.9,0.329296,0.996026,-0.29546,0.00402912,0,0
46830.9,0.579485,0.953522,-0.181935,0.00127272,0,0
46830.9,0.56813,0.885682,-0.338315,0.329293,0.331347,0
46830.9,0.329296,0.470048,-0.967186,0.999977,1,1
46830.9,0.647615,0.584058,-0.102355,1.91E-05,0,0
46830.9,0.65897,0.637586,-0.265386,1.91E-05,0,0
46830.9,0.840651,0.963531,0.188235,1.91E-05,0,0
46830.9,0.011355,0.99415,-0.338315,0.665346,0.668653,1
46830.9,1,0.76278,1,1.91E-05,0,0
46830.9,0.704391,0.999039,-0.338315,0.999955,1,1
46830.9,0.511355,0.999912,0.216033,1.91E-05,0,0
46830.9,0.204391,0.667305,-0.338315,0.570348,0.5685,0
46830.9,0.556775,0.669465,0.305655,1.91E-05,0,0
46830.9,0.840651,0.761732,0.671112,1.91E-05,0,0
46830.9,1,0.944144,-0.195098,1.91E-05,0,0
46830.9,0.920515,-0.038003,-0.338315,0.500022,0.503017,1
46830.9,0.13626,0.954478,-0.338315,0.00164856,0,0
46830.9,0.317941,0.829576,-0.338315,0.672563,0.668653,1
46830.9,0.852385,0.124837,0.460877,1.91E-05,0,0
46830.9,0,0.988947,-0.338315,0.0015444,0,0
46830.9,1,0.686861,0.991701,1.91E-05,0,0
46830.9,0.0681302,0.999699,-0.0933264,4.15E-05,0,0
46830.9,0.47729,0.979288,0.250992,1.91E-05,0,0
46830.9,0.420515,0.67163,-0.338315,0.170174,0.17167,1
46830.9,0.88645,0.00557248,-0.338315,1.91E-05,0,0
46830.9,0.681681,0.737131,0.608521,1.91E-05,0,0
46830.9,0.772521,0.0417882,-0.313129,1.91E-05,0,0
46830.9,1,0.26112,-0.145942,1.91E-05,0,0
46830.9,0.102195,0.557617,-0.338315,0.738543,0.74017,1
46830.9,0.88645,0.436628,-0.338315,0.828569,0.82833,0
46830.9,0.86374,0.0549261,-0.338315,1.91E-05,0,0
46830.9,0.965935,0.136786,-0.338315,0.171427,0.17167,1
46830.9,1,0.990147,0.311437,1.91E-05,0,0
46830.9,0.443225,0.988941,-0.130675,1.91E-05,0,0
46830.9,0.61355,0.971059,0.0682414,1.91E-05,0,0
46830.9,0.0340651,1,-0.338315,0.333617,0.331347,0
46830.9,0.193036,0.967747,-0.338315,0.665237,0.668653,1
46830.9,1,0.992706,0.990952,1.91E-05,0,0
46830.9,0.40916,0.991853,0.219187,1.91E-05,0,0
46830.9,0.95458,-0.3184,-0.338315,0.49934,0.503017,1
46830.9,0.0340651,0.997295,-0.338315,0.500837,0.496983,0
46830.9,0.54542,0.91626,0.399076,1.91E-05,0,0
46830.9,1,0.999413,-0.338315,1.91E-05,0,0
46830.9,0.511355,0.730949,-0.338315,0.581869,0.574496,1
46830.9,0.54542,0.965467,-0.264665,0.000505874,0,0
