LB,ObjCoeff,Dual,y_lp_sum,RC,ylp,yint
55914.4,6005,-0.00213199,4.77E-06,4097.58,0,0
55914.4,1261,-0.001505,0.999907,0,1,1
55914.4,5405,-0.00184211,9.17E-05,0,0,0
55914.4,5285,-0.00123703,4.77E-06,3606.4,0,0
55914.4,5825,-0.00315378,4.77E-06,2683.98,0,0
55914.4,6005,-0.000400447,4.77E-06,4319.37,0,0
55914.4,3063,0,4.77E-06,0,0,0
55914.4,3964,-1.77E-05,1.72E-05,0,0,0
55914.4,901,-1.38E-05,0.00359613,0,0,0
55914.4,1742,-0.00243299,0.00384252,0,0,1
55914.4,6005,-0.000110854,4.77E-06,2519.76,0,0
55914.4,2883,-4.50E-17,4.77E-06,2080.29,0,0
55914.4,5765,-0.00786644,3.44E-05,477.158,0,0
55914.4,901,0,0.999965,0,1,1
55914.4,3603,-0.00493678,4.77E-06,960.449,0,0
55914.4,6005,-2.66E-68,4.77E-06,6005,0,0
55914.4,3423,-0.00503974,0.0038887,0,0,0
55914.4,3603,-0.00375631,4.77E-06,1470.63,0,0
55914.4,2582,-0.00679987,0.997421,0,1,1
55914.4,3423,-0.00491788,4.77E-06,0,0,0
55914.4,2282,0,0.877635,0,0.936292,0
55914.4,2883,-0.00283775,4.77E-06,1950.77,0,0
55914.4,2462,-0.00172342,4.77E-06,2018.15,0,0
55914.4,6005,0,4.77E-06,0,0,0
55914.4,3003,-0.00186547,0.999994,0,1,1
55914.4,4924,-0.00241446,4.77E-06,3055.8,0,0
55914.4,2162,-0.00395192,0.994657,0,1,1
55914.4,4084,-0.00225191,4.77E-06,2327.24,0,0
55914.4,6005,-3.63E-20,4.77E-06,6003.69,0,0
55914.4,3783,-0.00333047,0.00540286,0,-2.55E-13,1
55914.4,5405,-1.15E-05,4.77E-06,2735.22,0,0
55914.4,1982,-0.0019434,0.99462,0,1,0
55470.2,6005,0,0.00244141,0,0,0
55470.2,2462,0,0.00244141,0,0,0
55470.2,3783,0,0.00244141,0,0,0
55470.2,3723,-0.00330781,0.00244141,0,0,0
55470.2,2462,-0.00397337,0.99707,-1591.5,1,1
55470.2,4144,0,0.00244141,0,0,0
55470.2,4204,0,0.00244141,0,0,0
55470.2,5164,0,0.00244141,0,0,0
55470.2,781,0,0.00244141,0,0,0
55470.2,6005,0,0.00244141,0,0,0
55470.2,4444,-0.00517917,0.00557148,0,0,0
55470.2,3423,0,0.00244141,0,0,0
55470.2,1802,0,0.994877,0,1,1
55470.2,3663,-0.000792705,0.971191,0,1,1
55470.2,5164,0,0.00244141,0,0,0
55470.2,6005,-0.00133044,0.00244141,5089.09,0,0
55470.2,5585,-0.00347069,0.00244141,3325.82,0,0
55470.2,1442,-0.00206219,0.988973,0,1,1
55470.2,2402,-0.00357244,0.00590474,0,0,0
55470.2,5225,-6.82E-05,0.00244141,4212.24,0,0
55470.2,721,-5.39E-50,0.00816487,0,0,0
55470.2,6005,0,0.00244141,0,0,0
55470.2,1081,0,0.00463491,0,0,0
55470.2,3243,0,0.00244141,0,0,0
55470.2,2943,-4.60E-49,0.0105385,0,0,0
55470.2,5405,-0.0034383,0.00244141,851.3,0,0
55470.2,4324,-1.09E-39,0.00244141,3906.25,0,0
55470.2,4804,-0.00180356,0.00244141,2906.5,0,0
55470.2,6005,-0.00244905,0.00244141,4840.66,0,0
55470.2,1261,-0.00256208,0.979696,0,1,1
55470.2,5405,-0.0023498,0.0198158,0,0,0
55470.2,5285,-0.00124164,0.00244141,4153.1,0,0
55470.2,5825,-0.00368388,0.00244141,2977.53,0,0
55470.2,6005,-6.62E-05,0.00244141,3661.56,0,0
55470.2,3063,0,0.00244141,0,0,0
55470.2,3964,0,0.00284877,0,0,0
55470.2,901,0,0.0103771,0,0,0
55470.2,1742,-1.68E-39,0.00841369,0,0,0
55470.2,6005,0,0.00244141,0,0,0
55470.2,2883,0,0.00244141,0,0,0
55470.2,5765,-0.00410165,0.00244141,336.28,0,0
55470.2,901,0,0.99707,0,1,1
55470.2,3603,-0.000246099,0.00244141,1006.13,0,0
55470.2,6005,0,0.00244141,0,0,0
55470.2,3423,-0.00116337,0.00244141,0,0,0
55470.2,3603,0,0.00244141,0,0,0
55470.2,2582,-0.00279549,0.99707,0,1,1
55470.2,3423,-0.00192156,0.00244141,2056.36,0,0
55470.2,2282,0,0.00244141,0,0,0
55470.2,2883,0,0.00244141,0,0,0
55470.2,2462,0,0.00244141,0,0,0
55470.2,6005,0,0.00244141,0,0,0
55470.2,3003,-0.00212998,0.99707,0,1,1
55470.2,4924,-0.000289695,0.00244141,3963.34,0,0
