LB,ObjCoeff,y_lp_sum,Dual,ylp,yint
53399.3,0.443225,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.61374,0.500000_0.259530_0.129765_0.064882_0.032441_0.016221_0.008110_0.004055_0.002028_0.001014_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.0340651,0.500000_0.740470_0.662546_0.331273_0.165636_0.082818_0.041409_0.020705_0.010352_0.005176_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.193225,0.500000_0.250000_0.332689_0.235088_0.117544_0.058772_0.029386_0.014693_0.007347_0.003673_0.000000_,0.000000_0.000000_0.000000_0.000000_-194.567200_0.000000_0.000000_-195.964005_0.000000_0.000000_0.000000_,0,0
53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.40916,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.95458,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-2001.555054_-3292.100098_-3045.402588_-3542.573242_-3169.548340_-715.180176_-2426.215088_-1495.521240_-3930.149414_-2701.649414_-1425.058838_,0,0
53399.3,0.0340651,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,1
53399.3,0.54542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-120.093300_-197.526001_0.000000_0.000000_0.000000_0.000000_-145.572906_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
